EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
293185,이태원지구촌축제,20221015,20221016,126.9928428,37.53509982,서울특별시 용산구 이태원로27가길 42,A02070200,55
141105,경남고성공룡세계엑스포,20230922,20231029,128.3915389,35.05334718,경상남도 고성군 당항만로 1116,A02070200,211
293149,대구국제오페라축제,20220923,20221119,128.5920987,35.88344618,대구광역시 북구 호암로 15,A02080400,79
293084,영동난계국악축제,20231012,20231015,127.7865319,36.15639773,충청북도 영동군 영동힐링로 117,A02070100,162
293765,광주디자인비엔날레,20210901,20211031,126.8902647,35.18256483,광주광역시 북구 비엔날레로 111,A02080500,86
293047,2022 인사동 엔틱 & 아트페어,20220831,20220925,126.9835676,37.57452008,서울특별시 종로구 인사동길 49,A02080500,57
293030,안성 남사당놀이 상설공연,20230325,20231125,127.3101449,37.03182212,경기도 안성시 보개면 남사당로 198-2,A02080100,125
292977,기장멸치축제,20230421,20230423,129.2306167,35.22299906,부산광역시 기장군 기장읍,A02070200,90
141028,유성정월대보름제,20230203,20230203,127.3408856,36.35986376,대전광역시 유성구 문화원로 46,A02070200,73
292950,고싸움놀이축제,20230203,20230205,126.8371306,35.06962946,광주광역시 남구 고싸움로 2,A02070200,84
292961,왕궁 수문장 교대의식,20230101,20231231,126.9761046,37.56504604,서울특별시 중구 세종대로 99,A02080100,58
140962,경포 해넘이 축제,20221231,20230101,128.9074446,37.80572931,강원도 강릉시 창해로 514,A02070200,141
140930,탐라문화제,20231006,20231010,126.5246671,33.51818388,제주특별자치도 제주시 중앙로 2,A02070100,268
140908,파주출판도시 어린이책잔치,20230505,20230507,126.6872158,37.70864084,경기도 파주시 회동길 145 아시아출판문화정보센터,A02070200,136
140911,홍성남당항대하축제,20220827,20221030,126.4721144,36.53959466,충청남도 홍성군 서부면 남당항로 213-1,A02070200,184
140880,한국민속예술제,20221001,20221030,127.1075925,36.46664186,충청남도 공주시 고마나루길 90 고마문화복합센터,A02070200,171
